"Name","Component","Side","Place X","Place Y","Rotation"
"C1","Capacitor","Top","494.200","514.000","180.00"
"C2","Capacitor","Top","493.700","521.400","90.00"
"C3","Capacitor","Top","493.700","519.400","90.00"
"LOGO2","Designspark_Logo","Top","500.000","475.100","0.00"
"LED2","KPA-3010YC","Top","500.000","530.700","0.00"
"IC1","LD1117S33TR","Top","489.200","516.650","0.00"
"R1","Resistor","Top","497.400","527.600","90.00"
"LOGO1","RS_Logo","Top","504.005","516.731","0.00"
"U1","SCD41-D-R1","Top","500.000","482.500","0.00"
"CONN1","SolderBridge_0603_NC","Top","502.600","527.600","270.00"
"J1","SSW-106-02-G-D-RA","Top","510.760","500.000","90.00"
"J2","TSW-106-08-G-D-RA","Top","495.000","500.000","90.00"
