"Names","Value","Quantity","Manufacturer","Manufacturer Part Number","Component"
"C1-2","10uF",2,"Murata","GRM21BR61E106KA73L","Capacitor"
"C3","330pF",1,"Yageo","CC0603JRNPO9BN331","Capacitor"
"C4-5","100nF",2,"AVX","06035C104K4T2A","Capacitor"
"CONN1",,1,,,"SolderBridge_0603_NC"
"D1",,1,"ON Semiconductor","MBR0530T3G","MBR0530T3G"
"D2-3",,2,"Bourns","CDSOT23-0502B","CDSOT23-0502B"
"F1",,1,"LITTELFUSE","1210L020WR","1210L020WR"
"IC1",,1,"Nexperia","PCA9615DP","PCA9615DP"
"J1",,1,"Amphenol","54601-908WPLF","54601-908WPLF"
"J2",,1,"SAMTEC","TSW-106-08-G-D-RA","TSW-106-08-G-D-RA"
"L1",,1,"Bourns","SRN5020TA-120M","SRN5020TA-120M"
"LED1",,1,"Kingbright","KPA-3010YC","KPA-3010YC"
"LED2",,1,"Wurth Elektronik","150060BS75000","150060BS75000"
"R1","118K",1,"Yageo","RC0603FR-07118KL","Resistor"
"R2","13K3",1,"Yageo","AC0603FR-1313K3L","Resistor"
"R3, R5-6, R8","390R",4,"TE Connectivity","CRGCQ0603F390R","Resistor"
"R4, R7","100R",2,"TE Connectivity","CRGCQ0603J100R","Resistor"
"R9","330R",1,"TE Connectivity","CRG0603F330R","Resistor"
"R10","3K3",1,"Yageo","RC0603FR-073K3L","Resistor"
"S1",,1,"Texas Instruments","LMR62014XMF/NOPB","LMR62014XMF_NOPB"
"Sub-total:",,27,,,
