"Names","Value","Quantity","Manufacturer","Manufacturer Part Number","Component"
"C1",,1,"Panasonic","EEEFC1V330P","EEEFC1V330P"
"C2","10nF",1,"TDK","CGA3E2C0G1H103J080AA","Capacitor"
"C3, C6-7","10uF",3,"Murata","GRM21BR61E106KA73L","Capacitor"
"C4-5, C11","100nF",3,"AVX","06035C104K4T2A","Capacitor"
"D1-2",,2,"Bourns","CDSOT23-0502B","CDSOT23-0502B"
"D3-4",,2,"ON Semiconductor","MBR0530T3G","MBR0530T3G"
"D5",,1,"SEMTECH","RCLAMP0582BQTCT","RCLAMP0582BQTCT"
"FS1",,1,"Bourns","MF-USMF035-2","MF-USMF035-2"
"IC1",,1,"Nexperia","PCA9615DP","PCA9615DP"
"IC2",,1,"Texas Instruments","LMR12010XMK/NOPB","LMR12010XMK_NOPB"
"IC4",,1,"ST Microelectronics","LD1117S33TR","LD1117S33TR"
"J1",,1,"Amphenol","54601-908WPLF","54601-908WPLF"
"J2",,1,"SAMTEC","SSW-106-02-G-D-RA","SSW-106-02-G-D-RA"
"L1",,1,"Bourns","SRN5020TA-120M","SRN5020TA-120M"
"LED1",,1,"OSRAM","LG Q396","LED"
"LED2",,1,"Wurth Elektronik","150060BS75000","150060BS75000"
"LED3",,1,"OSRAM","LY Q396","LED"
"R1-2","10K",2,"TE Connectivity","CRG0603F10K/10","Resistor"
"R3, R5-6, R8","390R",4,"TE Connectivity","CRGCQ0603F390R","Resistor"
"R4, R7","100R",2,"TE Connectivity","CRGCQ0603J100R","Resistor"
"R9","52K3",1,"Panasonic","ERJ3EKF5232V","Resistor"
"R10","3K3",1,"Yageo","RC0603FR-073K3L","Resistor"
"R11-12","330R",2,"TE Connectivity","CRG0603F330R","Resistor"
"R13-14","3K9",2,"KOA","RK73B1JTTD392J","Resistor"
"Z1",,1,"ON Semiconductor","MMSZ5236BT1G","MMSZ5236BT1G"
"Sub-total:",,38,,,
