"Name","Component","Side","Place X","Place Y","Rotation"
"J1","54601-908WPLF","Top","491.570","499.955","270.00"
"LED2","150060BS75000","Top","500.000","532.000","0.00"
"C2","Capacitor","Top","498.600","520.600","90.00"
"C3","Capacitor","Top","504.700","511.300","180.00"
"C4","Capacitor","Top","491.100","481.100","180.00"
"C5","Capacitor","Top","491.100","484.400","0.00"
"C6","Capacitor","Top","506.700","511.300","180.00"
"C7","Capacitor","Top","512.100","489.300","90.00"
"C11","Capacitor","Top","513.400","475.400","0.00"
"D1","CDSOT23-0502B","Top","503.700","503.400","270.00"
"D2","CDSOT23-0502B","Top","492.900","489.000","180.00"
"LOGO2","Designspark_Logo","Top","500.000","475.100","0.00"
"C1","EEEFC1V330P","Top","491.500","518.750","270.00"
"IC4","LD1117S33TR","Top","509.800","483.450","0.00"
"LED1","LED","Top","515.300","482.500","180.00"
"LED3","LED","Top","515.300","517.400","0.00"
"IC2","LMR12010XMK_NOPB","Top","498.600","523.300","180.00"
"D3","MBR0530T3G","Top","499.100","518.700","0.00"
"D4","MBR0530T3G","Top","503.400","521.400","0.00"
"FS1","MF-USMF035-2","Top","510.900","512.300","0.00"
"Z1","MMSZ5236BT1G","Top","507.700","524.700","270.00"
"IC1","PCA9615DP","Top","493.900","482.800","90.00"
"D5","RCLAMP0582BQTCT","Top","498.900","481.100","180.00"
"R1","Resistor","Top","496.000","525.900","90.00"
"R2","Resistor","Top","501.800","526.100","0.00"
"R3","Resistor","Top","502.400","497.500","0.00"
"R4","Resistor","Top","502.400","494.200","0.00"
"R5","Resistor","Top","502.400","490.900","0.00"
"R6","Resistor","Top","505.400","499.500","0.00"
"R7","Resistor","Top","505.400","496.200","0.00"
"R8","Resistor","Top","505.400","492.900","0.00"
"R9","Resistor","Top","504.200","525.200","270.00"
"R10","Resistor","Top","499.200","529.400","0.00"
"R11","Resistor","Top","515.300","479.200","180.00"
"R12","Resistor","Top","515.300","520.700","0.00"
"R13","Resistor","Top","504.200","483.600","0.00"
"R14","Resistor","Top","502.100","483.600","0.00"
"LOGO1","RS_Logo","Top","509.905","516.530","0.00"
"L1","SRN5020TA-120M","Top","499.900","514.800","180.00"
"J2","SSW-106-02-G-D-RA","Top","510.760","500.000","90.00"
