"Names","Value","Quantity","Manufacturer","Manufacturer Part Number","Component"
"C1-3","100nF",3,"AVX","06035C104K4T2A","Capacitor"
"D1-2",,2,"SEMTECH","RCLAMP0582BQTCT","RCLAMP0582BQTCT"
"IC1",,1,"NXP","PCA9508DP,118","PCA9508DP,118"
"IC2",,1,"Texas Instruments","LSF0102DCTR","LSF0102DCTR"
"J1",,1,"SAMTEC","SSW-106-02-G-S-RA","SSW-106-02-G-S-RA"
"J2",,1,"SAMTEC","TSW-106-08-G-D-RA","TSW-106-08-G-D-RA"
"J3, J5",,2,"Seeedstudio",110990030,"Grove_Universal_4_Pin_connector"
"J4",,1,"JST (JAPAN SOLDERLESS TERMINALS)","SM04B-SRSS-TB(LF)(SN)","SM04B-SRSS-TB_LF__SN_"
"PL1",,1,,,"CONN_SIL_3"
"R3-4","3K9",2,"KOA","RK73B1JTTD392J","Resistor"
"R5-9","200K",5,"Vishay","CRCW0603200KFKEA","Resistor"
"Sub-total:",,20,,,
