"Name","Component","Side","Place X","Place Y","Rotation"
"C1","Capacitor","Top","498.800","506.100","180.00"
"C2","Capacitor","Top","501.900","506.100","180.00"
"C3","Capacitor","Top","492.700","488.200","270.00"
"PL1","CONN_SIL_3","Top","511.440","480.000","90.00"
"LOGO2","Designspark_Logo","Top","500.000","474.800","0.00"
"J3","Grove_Universal_4_Pin_connector","Top","500.000","480.000","0.00"
"J5","Grove_Universal_4_Pin_connector","Top","500.300","517.400","0.00"
"IC2","LSF0102DCTR","Top","491.300","485.200","0.00"
"IC1","PCA9508DP,118","Top","501.000","502.100","0.00"
"D1","RCLAMP0582BQTCT","Top","497.700","484.600","0.00"
"D2","RCLAMP0582BQTCT","Top","504.000","506.200","90.00"
"R3","Resistor","Top","502.500","511.000","0.00"
"R4","Resistor","Top","505.300","511.000","0.00"
"R5","Resistor","Top","486.300","485.500","0.00"
"R6","Resistor","Top","486.300","482.200","180.00"
"R7","Resistor","Top","496.000","488.200","270.00"
"R8","Resistor","Top","500.500","487.300","0.00"
"R9","Resistor","Top","502.200","487.300","0.00"
"LOGO1","RS_Logo","Top","500.305","522.831","0.00"
"J4","SM04B-SRSS-TB_LF__SN_","Top","500.200","530.449","180.00"
"J1","SSW-106-02-G-S-RA","Top","512.090","500.000","90.00"
"J2","TSW-106-08-G-D-RA","Top","495.000","500.000","90.00"
