"Name","Component","Side","Place X","Place Y","Rotation"
"Q1","2N7002E-7-F","Bottom","17.858","30.050","90.00"
"Q2","2N7002E-7-F","Bottom","22.258","30.050","90.00"
"Q3","2N7002E-7-F","Bottom","46.350","46.857","180.00"
"Q4","2N7002E-7-F","Bottom","46.350","40.257","180.00"
"Q5","2N7002E-7-F","Bottom","39.750","29.407","180.00"
"J8","53398-0871","Bottom","90.342","27.000","90.00"
"Y1","ABS07-32.768KHZ-T","Bottom","37.000","35.350","180.00"
"C1","Capacitor","Bottom","17.600","10.000","90.00"
"C2","Capacitor","Bottom","17.600","5.000","90.00"
"C3","Capacitor","Bottom","25.400","25.900","90.00"
"C4","Capacitor","Bottom","25.400","24.300","90.00"
"C5","Capacitor","Bottom","37.000","46.850","180.00"
"C6","Capacitor","Bottom","26.800","18.650","90.00"
"C7","Capacitor","Bottom","3.740","37.700","90.00"
"C8","Capacitor","Bottom","16.700","38.200","270.00"
"C9","Capacitor","Bottom","18.900","50.600","90.00"
"C10","Capacitor","Bottom","40.250","46.900","0.00"
"C11","Capacitor","Bottom","51.000","57.200","90.00"
"C12","Capacitor","Bottom","51.000","59.500","90.00"
"C13","Capacitor","Bottom","58.050","48.600","270.00"
"IC3","CAT24C32WI-GT3","Bottom","36.200","51.900","180.00"
"D2","CDSOD323-T03C","Bottom","88.000","37.500","90.00"
"D3","CDSOD323-T05C","Bottom","88.300","15.500","270.00"
"LOGO1","Designspark_Logo","Top","43.018","3.338","0.00"
"IC2","DS1307Z+T&R","Bottom","35.100","41.250","270.00"
"J1","ESQ-120-44-T-D","Bottom","52.724","8.500","180.00"
"J3","FH12-6S-1SH_55_","Bottom","60.401","55.300","270.00"
"J4","FH12S-45S-0.5SH_55_","Bottom","71.600","37.000","270.00"
"SK1","FSM6JSMATR","Top","8.526","22.000","90.00"
"SK2","FSM6JSMATR","Top","8.526","32.000","90.00"
"SK3","FSM6JSMATR","Top","8.526","42.000","90.00"
"SK4","FSM6JSMATR","Top","8.526","52.000","90.00"
"J2","Hirose U.FL-R-SMT-1(10)","Bottom","7.095","4.900","90.00"
"L1","Inductor","Bottom","12.600","5.800","180.00"
"IC1","L76-M33","Bottom","17.900","21.557","90.00"
"IC4","LD1117S33TR","Bottom","42.950","59.500","90.00"
"F1","MF-USMF020-2","Bottom","91.100","37.900","90.00"
"F2","MF-USMF075-2","Bottom","91.400","13.100","90.00"
"J5","Molex_5040500591","Bottom","18.656","58.400","270.00"
"Q6","QS6M3TR","Bottom","88.250","56.850","90.00"
"Q7","QS6M3TR","Bottom","91.500","50.800","90.00"
"D1","RCLAMP0582BQTCT","Top","72.500","3.200","180.00"
"R1","Resistor","Bottom","16.700","7.500","180.00"
"R2","Resistor","Bottom","61.600","18.700","0.00"
"R3","Resistor","Bottom","63.300","17.989","180.00"
"R4","Resistor","Bottom","52.200","46.900","90.00"
"R5","Resistor","Bottom","52.200","43.600","90.00"
"R6","Resistor","Bottom","52.200","40.300","90.00"
"R7","Resistor","Bottom","52.200","37.000","90.00"
"R8","Resistor","Bottom","42.900","37.540","0.00"
"R9","Resistor","Bottom","26.800","20.350","270.00"
"R10","Resistor","Bottom","3.740","35.900","270.00"
"R11","Resistor","Bottom","16.700","36.500","90.00"
"R12","Resistor","Bottom","18.900","48.900","270.00"
"R13","Resistor","Bottom","41.900","50.100","180.00"
"R14","Resistor","Bottom","7.850","11.100","270.00"
"R15","Resistor","Bottom","7.850","9.600","90.00"
"R16","Resistor","Bottom","12.600","9.600","180.00"
"R17","Resistor","Bottom","36.700","29.500","180.00"
"R18","Resistor","Bottom","91.100","61.400","180.00"
"R19","Resistor","Bottom","87.300","61.300","0.00"
"R20","Resistor","Bottom","92.200","55.750","180.00"
"R21","Resistor","Bottom","90.650","55.750","0.00"
"R22","Resistor","Bottom","11.500","61.050","0.00"
"R23","Resistor","Bottom","40.850","33.130","180.00"
"BZ1","RSPro_754-1977","Bottom","47.050","30.550","180.00"
"LOGO2","RS_Logo","Top","6.705","10.030","0.00"
"CONN1","S8201-46R","Bottom","9.600","47.100","270.00"
"TP1","Test Pad","Bottom","29.750","16.300","0.00"
"TP2","Test Pad","Bottom","31.000","17.550","0.00"
"TP3","Test Pad","Bottom","32.250","18.800","0.00"
"TP4","Test Pad","Bottom","16.950","32.550","0.00"
"TP5","Test Pad","Bottom","25.200","29.300","0.00"
"TP6","Test Pad","Bottom","33.200","35.000","0.00"
"TP7","Test Pad","Bottom","44.600","51.000","0.00"
"J10","USB4110-GF-A","Bottom","4.237","19.200","270.00"
