"Name","Component","Side","Place X","Place Y","Rotation"
"V17","+3V3","Top","20300.00","22336.50","0.00"
"V18","+3V3","Top","19050.00","22336.50","0.00"
"V19","+3V3","Top","23150.00","22986.50","0.00"
"V20","+3V3","Top","16100.00","20836.50","0.00"
"V21","+3V3","Top","24550.00","20686.50","0.00"
"V22","+3V3","Top","25100.00","20686.50","0.00"
"V23","+3V3","Top","26300.00","20686.50","0.00"
"V24","+3V3","Top","19900.00","20736.50","0.00"
"V25","+3V3","Top","22400.00","20686.50","0.00"
"V1","+5V","Top","17700.00","22336.50","0.00"
"V4","+5V","Top","21600.00","22336.50","0.00"
"IC1","ADS1119IPWR","Top","23200.00","20150.00","0.00"
"C1","Capacitor","Top","16100.00","19775.00","90.00"
"C2","Capacitor","Top","24000.00","19625.00","90.00"
"C3","Capacitor","Top","24550.00","19625.00","90.00"
"C4","Capacitor","Top","25100.00","19625.00","90.00"
"C5","Capacitor","Top","26300.00","19625.00","90.00"
"C6","Capacitor","Top","19900.00","19825.00","90.00"
"C7","Capacitor","Top","20650.00","19825.00","90.00"
"C8","Capacitor","Top","21100.00","19825.00","90.00"
"C9","Capacitor","Top","17100.00","19775.00","90.00"
"REF29","GND","Top","20300.00","21501.25","0.00"
"REF30","GND","Top","19050.00","21501.25","0.00"
"REF31","GND","Top","23150.00","21451.25","0.00"
"REF32","GND","Top","15850.00","19501.25","0.00"
"REF33","GND","Top","16100.00","19501.25","0.00"
"REF34","GND","Top","22450.00","19351.25","0.00"
"REF35","GND","Top","24000.00","19351.25","0.00"
"REF36","GND","Top","24550.00","19351.25","0.00"
"REF37","GND","Top","25100.00","19351.25","0.00"
"REF38","GND","Top","26300.00","19351.25","0.00"
"REF39","GND","Top","27750.00","19351.25","0.00"
"REF40","GND","Top","19900.00","19551.25","0.00"
"REF41","GND","Top","18400.00","19551.25","0.00"
"REF42","GND","Top","20650.00","19601.25","0.00"
"REF43","GND","Top","21100.00","19601.25","0.00"
"REF44","GND","Top","17100.00","19551.25","0.00"
"REF45","GND","Top","24350.00","22151.25","0.00"
"LED2","KPA-3010CGCK","Bottom","22600.00","22300.00","180.00"
"IC3","LM2904LVIPWR","Top","19050.00","20200.00","0.00"
"IC2","REF4132A30DBVRQ1","Bottom","27100.00","19800.00","0.00"
"R1","Resistor","Top","23150.00","21850.00","270.00"
"R2","Resistor","Top","20350.00","20250.00","0.00"
"R3","Resistor","Top","20350.00","20650.00","0.00"
"R4","Resistor","Top","16800.00","20600.00","0.00"
"M1","SMTSO-M4-2ET","Top","24686.50","22350.00","0.00"
"CONN1","SolderBridge_0603_NC","Top","23139.66","22675.00","90.00"
"J1","SSW-106-02-G-D-RA","Top","20850.00","21950.00","0.00"
"J2","TSW-106-08-G-D-RA","Top","18450.00","21950.00","0.00"
"J3","TSW-108-08-G-S-RA","Bottom","15413.50","20250.00","0.00"
