"Name","Component","Side","Place X","Place Y","Rotation"
"Q1","2N7002E-7-F","Top","498.500","469.500","0.00"
"S1","434123050816","Top","516.200","480.300","90.00"
"XTAL1","ABLS-12.000MHZ-B4-T","Top","471.600","484.640","270.00"
"C1","Capacitor","Top","483.000","471.600","0.00"
"C2","Capacitor","Top","480.600","471.600","0.00"
"C3","Capacitor","Top","485.700","484.800","180.00"
"C4","Capacitor","Top","480.600","484.800","180.00"
"C5","Capacitor","Top","492.600","472.600","90.00"
"C6","Capacitor","Top","492.600","471.100","90.00"
"C7","Capacitor","Top","474.800","473.100","0.00"
"C8","Capacitor","Top","492.600","474.100","90.00"
"C9","Capacitor","Top","485.100","471.600","0.00"
"C10","Capacitor","Top","486.600","471.600","0.00"
"C11","Capacitor","Top","492.600","475.600","90.00"
"C12","Capacitor","Top","490.100","480.400","90.00"
"C13","Capacitor","Top","476.300","473.100","0.00"
"C14","Capacitor","Top","511.300","479.100","0.00"
"C15","Capacitor","Top","476.000","488.500","90.00"
"C16","Capacitor","Top","470.500","475.400","270.00"
"C17","Capacitor","Top","483.600","512.400","270.00"
"C18","Capacitor","Top","487.000","512.400","270.00"
"C19","Capacitor","Top","522.500","488.450","180.00"
"C20","Capacitor","Top","516.500","491.800","90.00"
"LOGO2","Designspark_Logo","Top","500.000","519.400","0.00"
"LED2","HSMH-C170","Top","502.500","469.500","0.00"
"LED1","KPA-3010CGCK","Top","499.877","531.851","0.00"
"J4","M20-9990345","Top","514.640","494.200","0.00"
"PS1","MIC5317-3.3YM5-TR","Top","519.400","488.850","180.00"
"R1","Resistor","Top","488.400","478.400","270.00"
"R2","Resistor","Top","488.400","476.900","270.00"
"R3","Resistor","Top","503.900","482.000","270.00"
"R4","Resistor","Top","500.300","482.000","90.00"
"R5","Resistor","Top","474.600","477.500","270.00"
"R6","Resistor","Top","507.100","469.500","90.00"
"R7","Resistor","Top","482.600","488.100","0.00"
"R8","Resistor","Top","483.600","514.000","270.00"
"R9","Resistor","Top","487.000","514.000","270.00"
"R10","Resistor","Top","494.000","529.700","180.00"
"R11","Resistor","Top","523.100","478.800","0.00"
"R12","Resistor","Top","523.100","483.900","0.00"
"R13","Resistor","Top","495.600","469.500","0.00"
"R14","Resistor","Top","478.300","471.600","180.00"
"IC1","RP2040","Top","481.600","478.100","270.00"
"LOGO1","RS_Logo","Top","500.105","524.030","0.00"
"CONN1","SolderBridge_0603_NC","Top","506.300","529.700","180.00"
"J1","SSW-106-02-G-D-RA","Top","527.960","500.000","90.00"
"U1","Teviso BG51","Top","499.960","499.433","0.00"
"J2","TSW-106-08-G-D-RA","Top","477.500","500.000","90.00"
"J3","USB4110-GF-A","Top","529.764","481.900","90.00"
"IC2","W25Q128JVSIM_TR","Top","504.000","478.100","0.00"
