"Names","Value","Quantity","Manufacturer","Manufacturer Part Number","Component"
"C1-2","NF",2,,,"Capacitor"
"C3, C12-13","10uF",3,"Taiyo Yuden","EMK107BBJ106MA-T","Capacitor"
"C4-11","100nF",8,"AVX","06035C104K4T2A","Capacitor"
"CONN1",,1,"Harwin","S8201-46R","S8201-46R"
"D1",,1,"SEMTECH","RCLAMP0582BQTCT","RCLAMP0582BQTCT"
"D2",,1,"Bourns","CDSOD323-T03C","CDSOD323-T03C"
"D3",,1,"Bourns","CDSOD323-T05C","CDSOD323-T05C"
"F1",,1,"Bourns","MF-USMF020-2","MF-USMF020-2"
"F2",,1,"Bourns","MF-USMF075-2","MF-USMF075-2"
"IC1",,1,"Quectel","L76-M33","L76-M33"
"IC2",,1,"Maxim Integrated","DS1307Z+T&R","DS1307Z+T&R"
"IC3",,1,"ON Semiconductor","CAT24C32WI-GT3","CAT24C32WI-GT3"
"IC4",,1,"ST Microelectronics","LD1117S33TR","LD1117S33TR"
"J1",,1,"SAMTEC","ESQ-120-44-T-D","ESQ-120-44-T-D"
"J2",,1,"Hirose","U.FL-R-SMT-1(10)","Hirose U.FL-R-SMT-1(10)"
"J3",,1,"Hirose","FH12-6S-1SH(55)","FH12-6S-1SH_55_"
"J4",,1,"Hirose","FH12S-45S-0.5SH(55)","FH12S-45S-0.5SH_55_"
"J8",,1,"Molex",53398-0871,53398-0871
"J10",,1,"GCT (GLOBAL CONNECTOR TECHNOLOGY)","USB4110-GF-A","USB4110-GF-A"
"L1","47nH",1,"EPSCOS","B82496C3470J000","Inductor"
"Q1-4",,4,"Diodes Inc.","2N7002E-7-F","2N7002E-7-F"
"R1","0R",1,"Bourns","CR0603-J/-000ELF","Resistor"
"R2-3, R9-13","3K9",7,"KOA","RK73B1JTTD392J","Resistor"
"R4-7","27R",4,"Panasonic","ERJP14J270U","Resistor"
"R8, R16","10R",2,"TE Connectivity","CRG0603F10R","Resistor"
"R14-15","5K1",2,"Vishay","CRCW06035K10FKEA","Resistor"
"SK1-4",,4,"TE Connectivity","FSM6JSMATR","FSM6JSMATR"
"TP1-7",,7,,,"Test Pad"
"Y1",,1,"ABRACON","ABS07-32.768KHZ-T","ABS07-32.768KHZ-T"
"Sub-total:",,62,,,
