"Name","Component","Side","Place X","Place Y","Rotation"
"Q1","2N7002E-7-F","Bottom","17.858","30.050","90.00"
"Q2","2N7002E-7-F","Bottom","24.758","30.050","90.00"
"Q3","2N7002E-7-F","Bottom","46.350","46.857","180.00"
"Q4","2N7002E-7-F","Bottom","46.350","40.257","180.00"
"J8","53398-0871","Bottom","90.342","27.000","90.00"
"Y1","ABS07-32.768KHZ-T","Bottom","22.700","42.400","90.00"
"C1","Capacitor","Bottom","17.600","10.000","90.00"
"C2","Capacitor","Bottom","17.600","5.000","90.00"
"C3","Capacitor","Bottom","28.200","26.300","90.00"
"C4","Capacitor","Bottom","28.200","24.700","90.00"
"C5","Capacitor","Bottom","34.200","42.400","90.00"
"C6","Capacitor","Bottom","31.700","17.700","90.00"
"C7","Capacitor","Bottom","7.000","34.000","90.00"
"C8","Capacitor","Bottom","19.800","38.200","90.00"
"C9","Capacitor","Bottom","25.000","51.100","90.00"
"C10","Capacitor","Bottom","38.900","46.000","0.00"
"C11","Capacitor","Bottom","41.400","57.000","90.00"
"C12","Capacitor","Bottom","41.400","59.300","90.00"
"C13","Capacitor","Bottom","52.450","50.000","270.00"
"IC3","CAT24C32WI-GT3","Bottom","36.200","51.900","180.00"
"D2","CDSOD323-T03C","Bottom","88.000","37.500","90.00"
"D3","CDSOD323-T05C","Bottom","88.300","15.500","270.00"
"LOGO1","Designspark_Logo","Top","41.618","3.138","0.00"
"IC2","DS1307Z+T&R","Bottom","28.600","44.300","180.00"
"J1","ESQ-120-44-T-D","Bottom","52.724","8.500","180.00"
"J3","FH12-6S-1SH_55_","Bottom","60.401","55.300","270.00"
"J4","FH12S-45S-0.5SH_55_","Bottom","71.600","37.000","270.00"
"SK1","FSM6JSMATR","Top","8.526","22.000","90.00"
"SK2","FSM6JSMATR","Top","8.526","32.000","90.00"
"SK3","FSM6JSMATR","Top","8.526","42.000","90.00"
"SK4","FSM6JSMATR","Top","8.526","52.000","90.00"
"J2","Hirose U.FL-R-SMT-1(10)","Bottom","7.075","4.900","90.00"
"L1","Inductor","Bottom","12.600","5.800","180.00"
"IC1","L76-M33","Bottom","17.900","21.557","90.00"
"IC4","LD1117S33TR","Bottom","33.350","59.300","90.00"
"F1","MF-USMF020-2","Bottom","91.100","37.900","90.00"
"F2","MF-USMF075-2","Bottom","91.400","13.100","90.00"
"D1","RCLAMP0582BQTCT","Top","72.500","3.200","180.00"
"R1","Resistor","Bottom","16.700","7.500","180.00"
"R2","Resistor","Bottom","61.600","18.700","0.00"
"R3","Resistor","Bottom","63.300","17.989","180.00"
"R4","Resistor","Bottom","52.200","46.900","90.00"
"R5","Resistor","Bottom","52.200","43.600","90.00"
"R6","Resistor","Bottom","52.200","40.300","90.00"
"R7","Resistor","Bottom","52.200","37.000","90.00"
"R8","Resistor","Bottom","42.900","37.100","0.00"
"R9","Resistor","Bottom","31.700","19.400","270.00"
"R10","Resistor","Bottom","7.000","32.100","270.00"
"R11","Resistor","Bottom","19.800","36.500","270.00"
"R12","Resistor","Bottom","25.000","49.400","270.00"
"R13","Resistor","Bottom","41.900","50.100","180.00"
"R14","Resistor","Bottom","10.000","28.700","180.00"
"R15","Resistor","Bottom","8.200","28.700","0.00"
"R16","Resistor","Bottom","12.600","9.600","180.00"
"LOGO2","RS_Logo","Top","8.505","10.431","0.00"
"CONN1","S8201-46R","Bottom","9.600","47.100","270.00"
"TP1","Test Pad","Bottom","36.200","19.500","0.00"
"TP2","Test Pad","Bottom","42.400","18.300","0.00"
"TP3","Test Pad","Bottom","38.800","22.100","0.00"
"TP4","Test Pad","Bottom","19.500","33.200","0.00"
"TP5","Test Pad","Bottom","23.900","33.200","0.00"
"TP6","Test Pad","Bottom","29.000","49.300","0.00"
"TP7","Test Pad","Bottom","45.800","51.000","0.00"
"J10","USB4110-GF-A","Bottom","4.237","19.200","270.00"
