"Name","Component","Side","Place X","Place Y","Rotation"
"C1","Capacitor","Top","501.100","489.000","180.00"
"C2","Capacitor","Top","506.400","489.000","180.00"
"C3","Capacitor","Top","509.500","482.000","90.00"
"LOGO1","Designspark_Logo","Top","500.000","514.800","0.00"
"LED1","KPA-3010CGCK","Top","500.000","533.540","0.00"
"R1","Resistor","Top","497.300","528.700","90.00"
"R2","Resistor","Top","499.400","489.000","180.00"
"R3","Resistor","Top","508.300","489.000","0.00"
"LOGO2","RS_Logo","Top","500.105","520.931","0.00"
"IC2","SGP40-D-R4","Top","502.800","482.615","0.00"
"IC1","SHT31-DIS-B2.5KS","Top","497.363","482.500","90.00"
"CONN1","SolderBridge_0603_NC","Top","502.600","528.600","270.00"
"J1","SSW-106-02-G-D-RA","Top","510.760","500.000","90.00"
"J2","TSW-106-08-G-D-RA","Top","495.000","500.000","90.00"
